Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
Nicaragua,"LAW NO. 312 ON COPYRIGHT AND NEIGHBORING RIGHTS (CONSOLIDATED TEXT OF JUNE 25, 2020) https://wipolex.wipo.int/en/legislation/details/21425",,,,,"Art 31. Reproduction in a copy of a disclosed work is permitted without authorization of the author exclusively for personal use. The above provision does not apply to: ...
2) The reprographic reproduction of an entire book or of a musical work in graphic form (scores).
3) The reproduction of all or important parts of databases in numerical form...",
Niger ,"AGREEMENT OF FEBRUARY 24, 1999, REVISING THE BANGUI AGREEMENT OF MARCH 2, 1977, ON THE CREATION OF AN AFRICAN INTELLECTUAL PROPERTY ORGANIZATION (BANGUI [CENTRAL AFRICAN REPUBLIC]) https://wipolex.wipo.int/en/text/578471",,,,,"Article 11 
Free Reproduction for Private Purposes 
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of 
this Article and those of Article 58, it shall be permitted, without the consent of the author and 
without payment of remuneration, to reproduce a lawfully published work exclusively for the 
private use of the user. 
(2) Paragraph (1) shall not apply to 
(i) the reproduction of works of architecture in the form of buildings or other similar 
constructions; 
(ii) the reprographic reproduction of works of fine art in a limited quantity, the 
graphical presentation of musical works (scores) and exercise manuals and other publications 
used once only; 
(iii) the reproduction of the whole or of significant parts of databases; (iv) the reproduction of computer programs, except in the cases provided for in 
Article 18; 
(v) any other reproduction of a work that would prejudice the normal exploitation of 
the work or would cause unwarranted prejudice to the legitimate interests of the author.",
Nigeria,"COPYRIGHT ACT (CHAPTER 28, LAWS OF THE FEDERATION OF NIGERIA 2004) https://wipolex.wipo.int/en/text/268735","Art 51. The right conferred in respect of a work by section 5 of this Act does not include the right to control-
(a) the doing of any of the acts mentioned in the said section 5 by way of fair dealing for purposes of research, private use, criticism or review or the reporting of current events, subject to the condition that, if the use is public, it shall be accompanied by an acknowledgement of the title of the work and its authorship except where the work is incidentally included in a broadcast;",,,,,
North Macedonia,Law on Copyright and Related Rights https://wipolex.wipo.int/en/text/263877,,,"Article 54 The use of a copyright work against payment of fair compensation shall apply to the 
following cases: 
...
2. Reproduction on any medium, made by a natural person for private use, without 
direct or indirect commercial purpose;",,"General provisions 
Article 51 
(1) A copyright work can be used without authorization by the author, with or without 
remuneration, only if the work has been disclosed. 
(2) The use under paragraph 1 of this Article can be carried out only in certain special 
cases, provided that the use does not conflict with the normal exploitation of the work, 
and does not unreasonably prejudice the legitimate interests of the author. 
(3) The provisions under this Part shall not apply to computer programs. 

Article 52 
(1) The use of a copyright work without payment of remuneration shall apply to the 
following cases: 
...
4. Use of works for illustration for teaching or scientific research to the extent justified by 
the non-commercial purpose to be achieved, provided that the name of the author and 
the source is indicated, unless this turns out to be impossible; .",
Norway,"COPYRIGHT ACT (ACT NO. 40 OF JUNE 15, 2018, RELATING TO COPYRIGHT IN LITERARY, SCIENTIFIC AND ARTISTIC WORKS) (CONSOLIDATED VERSION, STATUS AS AT DECEMBER 20, 2018) https://wipolex.wipo.int/en/text/504189",,,,,"Sec 26. When this is not done for commercial purposes or on the basis of a work reproduced in violation of this Act, some copies of a published work may be produced for private use. Such copies may not be used for any other purpose. The provision in the first paragraph does not give the right to a) reproduce the art of building through the construction of works b) produce digital copies of computer programs c) produce digital copies of databases in digital form d) produce copies of works of art by photocopying, casting, imprints or similar procedure when the specimen may be regarded as an original specimen...",
Oman,Law on Copyright and Neighboring Rights (promulgated by Royal Decree No. 65/2008) https://wipolex.wipo.int/en/text/577345,,,,,"Art 20. ...(3) Reproduction, to the extent justified by the purpose and without the purpose of direct or indirect financial gain, of a single copy by reprographic means of protected works by public libraries, non-commercial documentation centers, educational establishments and scientific and cultural institutions, provided that such reproduction shall be:
a- For a published article or short work whereas the purpose of reproduction is to meet the need of a natural person for use in a study or research and provided that reproduction shall be for one time, or at varying intervals. Reproduction shall also be considered if repeated, on separate and unrelated occasions, and that there is no collective license available under which such reproduction can be made, or; 
",
Pakistan,"The Copyright Ordinance, 1962 (Act No. XXXIV) https://wipolex.wipo.int/en/text/129351",,,,,,"Art 57.—(1) The following acts shall not constitute an infringement of copyright, namely: (a) a fair dealing with a literary, dramatic, musical or artistic work for the purpose of— (i) research or private study;
... 

Explanation.—For the purposes of clause (a) or clause (b) of this subsection— (i) in relation to a literary or dramatic work in prose, a single extract up to four hundred words, or a series of extracts (with comments interposed) up to a total of eight hundred words with no one extract exceeding three hundred words; and (ii) in relation to a literary or dramatic work in poetry, an extract or extracts up to a total of forty lines and in no case exceeding one-fourth of the whole of any poem may be deemed to be fair dealing with such work:"
Palau ,REPUBLIC OF PALAU COPYRIGHT ACT OF 2003 https://wipolex.wipo.int/en/text/201050,,,,,"Sec 7. (a) Notwithstanding the provisions of section 6, the private reproduction of a single copy of a published work shall be permitted without the authorization of the author or copyright owner, where the reproduction is made by a natural person for his or her own personal purposes.
(b) The permission provided in subsection (a) shall not extend to reproduction: (1) of a work of architecture in the form of a building or other construction; (2) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation; (3) of the whole or a substantial part of a database in digital form; (4) of a computer program, except as otherwise provided in this Act; and (5) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or owner of the copyright.",
Palestinian Territories,Copyright Ordinance 1924 https://wipolex-res.wipo.int/edocs/lexdocs/laws/en/il/il014en.pdf,"2 Infringement of copyright 
(1)Copyright in a work shall be deemed to be infringed by any person who, without the consent of the owner of the copyright, does anything the sole right to do which is by this Act conferred on the owner of the copyright: Provided that the following acts shall not constitute an infringement of copyright:— 
(i)Any fair dealing with any work for the purposes of private study, research, criticism, review, or newspaper summary:",,,,,
Panama,"LAW NO. 64 OF OCTOBER 10, 2012, ON COPYRIGHT AND NEIGHBORING RIGHTS https://wipolex.wipo.int/en/text/505829",,,,,,"Article 68. (Reproduction and reprography)
Regarding works, services or productions already lawfully disclosed, the following are allowed without authorization: 
... 
2. The reprographic reproduction of a legitimate example for exclusive personal use provided that it is limited to small parts of the protected work or to sold-out works. Any use of the reproduced pieces by any means or procedure for use other than personal, made in concurrence with the exclusive right of reproduction, is equated with the illegal use.
"
Papua New Guinea,Copyright and Neighbouring Rights Act 2000 https://wipolex.wipo.int/en/text/129337,,,,,"Art 8. (1) Notwithstanding the provisions of Section 6(1)(a), and subject to Subsection (2), the private reproduction of a published work in a single copy may be made without the authorisation of the author or owner of copyright, where the reproduction is made by a person exclusively for his own personal purposes.
(2) Subsection (1) does not apply to the reproduction - (a) of a work of architecture in the form of building or other construction; or (b) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation; or (c) of the whole or a substantial part of a database in digital form; or (d) of a computer program, except as provided in Section 13; or (e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright. ",
Paraguay,LEY N° 1328/1998 DE DERECHO DE AUTOR Y DERECHOS CONEXOS (MODIFICADA POR LA LEY Nº 4.046/2010)https://wipolex.wipo.int/en/text/585225,,,,,"Art 44. The exclusively personal copying of works published in graphic form or in the form of sound or audiovisual recordings shall be lawful where the compensatory remuneration referred to in Chapter IV of Title IV of this Law has been paid. The reproductions allowed under this Article shall not however extend to the following: 
1. reproduction of a work of architecture in the form of a building or other construction; 2. reproduction of the whole of a book or musical work in graphic form, or of the original or a copy of a work of fine art executed and signed by the author; 3. a database or compilation of data",
Peru,"COPYRIGHT LAW (LEGISLATIVE DECREE NO. 822, AS AMENDED UP TO LEGISLATIVE DECREE NO. 1391)https://wipolex.wipo.int/en/legislation/details/18762",,,,,"Art 48. It shall be lawful to make copies for exclusively personal use of works, performances or productions published as sound or audiovisual recordings. The reproductions permitted by this Article shall not however include the following: (a) the reproduction of a work of architecture in the form of a building or any other structure; (b) the reproduction of the whole of a book, a musical work in written form or the original or a copy of a three-dimensional work made and signed by the author; (c) a data base or compilation of data. [but see Art. 43, reprography limited to short fragments]",
Philippines,INTELLECTUAL PROPERTY CODE OF THE PHILIPPINES (REPUBLIC ACT NO. 8293) (2015 EDITION) https://wipolex.wipo.int/en/legislation/details/18399,"Sec 185.1. The fair use of a copyrighted work for criticism, comment, news reporting, teaching including limited number of copies for classroom use, scholarship, research, and similar purposes is not an infringement of copyright.",,,,,
Poland,"ACT OF FEBRUARY 4, 1994, ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UP ACT OF FEBRUARY 13, 2020) https://wipolex.wipo.int/en/legislation/details/20377",,,,,"Art. 23. 1. The creator may use it free of charge without the consent disseminated work for personal use. This recipe does not authorize to build according to someone else's architectural work i architectural and urban planning and to use electronic databases data that meet the characteristics of a work, except for personal use non-profit-making research. 

2. The scope of personal use includes single use copies of works by a group of people who are in a personal relationship, in particular kinship, affinity or social relationship.",
Portugal,"CODE OF COPYRIGHT AND RELATED RIGHTS (APPROVED BY DECREE-LAW NO. 63/85 OF MARCH 14, 1985, AND AMENDED UP TO DECREE-LAW NO. 9/2021 OF JANUARY 29, 2021) https://wipolex.wipo.int/en/legislation/details/21185",,,,,"Art 75. 2 - The following uses of the work are lawful, without the author's consent: a) The reproduction of the work, for exclusively private purposes, on paper or similar support, carried out through any type of photographic technique or process with similar results, with exception of the scores, as well as reproduction in any medium performed by a natural person for private use and without direct or indirect commercial purposes; ",
Puerto Rico,US law,,,,,,
Qatar,Law No. 7 of 2002 on the Protection of Copyright and Related Rights https://wipolex.wipo.int/en/text/129461,,,"Art 18.1 The following uses of a protected work are permitted without the Author’s authorization: (1) using the work exclusively for personal use, through reproduction, translation, quotation, musical arrangement, acting, broadcast listening, television viewing, photography or by any other means;",,,
Republic of Korea,"COPYRIGHT ACT (ACT NO. 432 OF JANUARY 28, 1957, AS AMENDED UP TO ACT NO. 15823 OF OCTOBER 16, 2018) https://wipolex.wipo.int/en/legislation/details/20903","Article 35-3. Fair Use of Works, etc.
(1) Except as provided in Articles 23 through 35-2 and 101-3 through 101-5, where a person does not unreasonably prejudice an author's legitimate interest without conflicting with the normal exploitation of works, he/she may use such works. 
(2) In determining whether an act of using works, etc. falls under paragraph (1), the following shall be considered: 1. Purposes and characters of use including whether such use is for or not-for nonprofit; 2. Types and natures of works, etc.; 3. Amount and substantiality of portion used in relation to the whole works, etc.; 4. Effect of the use of works, etc. on the current or potential market for or value of such work etc.
",,,,,
Republic of Moldova,"LAW NO. 139 OF JULY 2, 2010, ON COPYRIGHT AND NEIGHBORING RIGHTS (AS AMENDED BY LAW NO. 212 OF JULY 29, 2016) https://wipolex.wipo.int/en/legislation/details/16407",,,,,"Art 26 (1) Reproduction of a lawfully published work shall be permitted without the consent of the author or other holder of copyright, but subject to payment of an equitable remuneration, as provided for in paragraphs (3) – (11) of this Article, if made by a natural person for his own exclusive use, and for purposes that are neither directly or indirectly commercial. The right to remuneration may only be exercised through a collective management organization.
(2) The provisions of paragraph (1) of the present Article shall not apply to reproduction: a) of a work of architecture in the form of a building or similar construction; b) of a database; c) of a computer program, except in the cases referred to in Article 29; d) of a complete book, a musical score or the original of a work of plastic art; e) of an audiovisual work during its public performance; f) of any work on the basis of a copy or from a source about which the person that makes a reproduction knows, or, under the given circumstances, he has reasonable reasons to know, that it is illegal.",
Réunion,This is a department of France,,,,,,
Romania,"LAW NO. 8 OF MARCH 14, 1996, ON COPYRIGHT AND NEIGHBORING RIGHTS (AS AMENDED UP TO LAW NO. 8/2020) https://wipolex.wipo.int/en/text/545969",,,,,"Art 34 (1) It shall not be a violation of copyright, within the meaning of this Law, to reproduce a work without the author's consent for personal use or for use by a normal family circle, on condition that the work has already been disclosed to the public, that the reproduction does not adversely affect the normal exploitation of the work or prejudice the author or the owner of the exploitation rights. 
(2) In the situation provided for in paragraph (1), remuneration established according to the provisions of this Law shall be paid for the physical materials on which sound or audiovisual recordings may be made, and for devices serving for the reproduction thereof. 
",
Russian Federation,"CIVIL CODE OF THE RUSSIAN FEDERATION (PART FOUR, AS AMENDED UP TO JANUARY 1, 2022) https://wipolex.wipo.int/en/text/584655",,,,,"Art 1273.1 A citizen may reproduce, if necessary and exclusively for personal purposes a legally published work without the author's or other right holder's consent and without paying a fee, except for the following:
1) the reproduction of works of architecture in the form of buildings and similar structures; 2) the reproduction of databases or significant parts thereof, except as provided for by Article 1280 of this Code; 3) the reproduction of computer programmes, except for the cases envisaged by Article 1280 of the present Code; 4) the reproduction of books (in full) and musical notation texts (Article 1275), that is the facsimile reproduction with the help of technical facilities for the purposes other than publication; 5) the video recording of an audiovisual work when it is publicly performed in a place open to the public or in a place attended by a significant number of persons who do not belong to the ordinary family group; 6) the reproduction of an audiovisual work using professional equipment not intended for home use.",
Rwanda,Law No. 31/2009 of 26/10/2009 on the Protection of Intellectual Property https://wipolex.wipo.int/en/text/194215,,,,,"Art 203. Notwithstanding the provisions of article 200 of this Law, and subject to the provisions of paragraph 2 of this article, the private reproduction of a published work in a single copy shall be permitted without the authorization of the author or owner of copyright and without payment of any remuneration, where the reproduction is made by a natural person exclusively for his own personal purposes.
The provisions under paragraph one of this article shall not extend to reproduction: 1° of a work of architecture in the form of building or other similar constructions; 2° in the form of reprography of the whole or of a substantial part of a book or of a musical work in the form of notation; 3° of the whole or of a substantial part of a database in digital form; 4° of a computer program, except as provided in article 178; 5° of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright.
",
Saint Kitts and Nevis,"Copyright Act, 2000 (Chapter 18.08) https://wipolex.wipo.int/en/text/235248",,,,,"Art 52: Subject to section 54 of this Act, fair dealing with a literary, dramatic, musical or artistic work for the purposes of research or private study does not infringe copyright in the work or, in the case of a published edition, in the typographical arrangement. 
54. Determining fair dealing. 
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take into account all factors which appear to it to be relevant, including 
(a) the nature of the work in question; 
(b) the extent and substantiality of that part of the work affected by the act in relation to the whole of the work; 
(c) the purpose and character of the use; and 
(d) the effect of the act upon the potential market for, or the commercial value of, the work. 
",
Saint Lucia,"COPYRIGHT ACT, 1995 (CHAPTER 13.07, AS AMENDED BY ACT NO. 7 OF 2000) https://wipolex.wipo.int/en/text/580022","Sec 55: (1) Subject to subsection (2) and section 57, fair dealing with a protected work for the purposes of research or private study study does not infringe copyright in the work.
(2) Copying by a person other than the researcher or student himself is not fair dealing if- (a) in the case of librarian, or a person acting on behalf of a librarian, he does anything which regulations under section 68 would not permit to be done under section 69 or 70 (articles or parts of published works: restriction on multiple copies of same material); or (b) in any other case, the person doing the copyright knows or has reason to believe that it will result in copies of substantially the same material being provided to more than one person at substantially the same time and for substantially the same purpose.
Section 57. Determining Fair Dealing
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take account of all factors which appear to it to be relevant, including—
(a) the nature of the work in question;
(b) the extent and substantiality of that part of the work affected by the act in relation to the whole of the work;
(c) the effect of the act upon the potential market for or the commercial value of the work
",,,,,
Saint Vincent and The Grenadines,"Copyright Act, 2003 (Act No. 21 of 2003) https://wipolex.wipo.int/en/text/248049",,,,,"50. Research and private study 
{1) Subject to section 52, fair dealing with a literary, dramatic, musical or artistic work for the purposes of research or private study does not infringe copyright in the work or, in the case of a published edition, in the typographical arrangement. 
(2) Copying by a person other than the researcher or student himself is not fair dealing if-
(a) in the case of a librarian, or a person acting on behalf of a librarian he does anything which regulations, would not permit to be done under section 62(a) or 63(l)(b); 
(b) in any other case, the person doing the copyright knows or has reason to believe it will result in copies of substantially the same material being provided to more than one person at substantially the same time for substantially the same purpose. 

52. Determining fair dealing 
For the purpose of determining whether an act done in relation to a work constitutes 
fair dealing, the Court in determining the question shall take account of all factors which 
appear to it to be relevant, including-
( a) the nature of the work in question; 
(b) the extent and substantiality of that part of the work affected by the act in 
relation to the whole of the work; 
(c) the purpose and character of the use; and 
(d) the effect of the act upon the potential market for or the commercial value 
of the work.",
Samoa,"Copyright Act 1998 (Act No. 25 of 1998, as amended by Act No. 10 of 2011) https://wipolex.wipo.int/en/text/309851",,"Sec 8A (1) Despite section 6(1)(a), but subject to subsection (2), a person reproducing a work for the purposes of research or private study is not to be regarded as infringing any of the copyright in that work.
(2) Despite subsection (1), if a person reproducing the work knows or has reason to believe that it will result in copies of substantially the same material being provided to more than one person at substantially the same time, that person will not be regarded as reproducing the work for the purposes of subsection (1). ",,,,
San Marino,LAW NO. 8 OF 25 JANUARY 1991 - PROTECTION OF COPYRIGHT https://wipolex.wipo.int/en/text/202238,,,,,"Art 98: It is free, provided that the work has been previously disclosed:
a) the private and free representation of a work provided it is carried out within the family or circle of friends;
b) copies or reproductions strictly reserved for the private use of the copyist and not intended for collective use, with the exception of copies of works intended to be used for purposes identical to those for which the original work was created;",
Sao Tome and Principe,Copyright and Related Rights Code (approved by Decree-Law No. 02/2017) https://wipolex.wipo.int/en/text/497465,,,,,"Art 75(2)(a): The following uses of a work without the consent of the author shall be lawful: a) The reproduction for exclusively private purposes on paper or any similar medium, using any kind of photographic technique or process with similar results, with the exception of musical scores, as well as the reproduction on any medium made by a natural person for private use and without any direct or indirect commercial purpose; ... (3) The distribution of lawfully reproduced copies, to the extent justified by the objective of the reproduction, shall also be lawful.",
Saudi Arabia,"COPYRIGHT LAW (ISSUED BY ROYAL DECREE NO. M/41 OF 2 RAJAB 1424H (AUGUST 30, 2003), AND AMENDED BY DECISION OF THE COUNCIL OF MINISTERS NO. 536 OF 19/10/1439H (JULY 3, 2018)) https://wipolex.wipo.int/en/legislation/details/19412",,,,,"Art 15: The following uses of a copyrighted work, in its original language or a translation thereof, shall be deemed lawful without obtaining the permission of the copyright owner: (1) Copying the work for personal use, excluding computer software, and audio and audiovisual works.",
Senegal,"Law No. 2008-09 of January 25, 2008, on Copyright and Related Rights https://wipolex.wipo.int/en/text/243176",,,,,"Art 40 (1). The author may not prohibit reproduction intended for strictly personal and private use.
(2). The exception set out in paragraph 1 shall not apply to: (a) the reproduction of architectural works in the form of buildings or other similar structures; (b) the reprographic reproduction of works of visual art in limited editions, musical scores and textbooks; (c) the reproduction of an electronic database; (d) the reproduction of a computer program. [Bangui Agreement also applies]",
Serbia,"LAW ON COPYRIGHT AND RELATED RIGHTS (OFFICIAL GAZETTE OF THE REPUBLIC OF SERBIA NO. 104/2009, 99/2011, 119/2012, 29/2016 AND 66/2019) https://wipolex.wipo.int/en/legislation/details/19376",,,,,"Article 46. 
It is allowed for a natural person to reproduce copies of the published work for personal non-commercial purposes without the permission of the author and without payment of royalties, which does not exclude the application of Article 208, paragraph 1, point. 4 and 5 of this law. 
Duplicated copies of the work referred to in paragraph 1 of this article may not be put into circulation or used for any other form of public communication of the work.The provision of paragraph 1 of this article does not apply to: 
1) recording the performance, presentation and presentation of the work; 
2) three-dimensional realization of plans for works of fine art; 
3) construction realization of part of the architecture; 
4) making a new building modeled on an existing building that is an author's work; 
5) computer programs and electronic databases;* 
6) reproduction of written works in the scope of the entire book, unless copies of that book have been sold out for at least two years;* 
7) duplicating notation of music, except by manual copying.* 
Compensation due to the use of the work in the manner provided for in para. 1 and 2 of this article, the authors have based on the provisions of article 39 of this law.",
Seychelles,"Copyright Act, 2014 (Act No. 5 of 2014) https://wipolex.wipo.int/en/text/344478",,,,,"Art 9.(1) Subject to the provisions of subsection (2), the private reproduction of a published work in a single copy shall be permitted without the authorisation of the author or other owner of copyright, where the reproduction is made by a natural person exclusively for his or her own personal purposes.
(2) The provisions of subsection (1) shall not extend to reproduction­ (a) of a work of architecture in the form of building or other construction; (b) in the form of reprography of the whole or of a substantial part of a book or of a musical work in the form of notation; (c) of the whole or of a substantial part of a database in digital form; (d) of a computer program, except as provided in section 15; and (e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright. 
",
Sierra Leone ,"The Copyright Act, 2011 (Act No. 8 of 2011) https://wipolex.wipo.int/en/text/328521",,,,,"Sec 27: (1) Notwithstanding paragraph (a) of subsection (1) of section 10 and subject to subsection (2), the private reproduction of a published work in a single copy is permitted without the authorization of the author or other owner of copyright, where the reproduction is made by an individual exclusively for his own personal purposes.
(2) The permission under subsection (1) does not extend to reproduction - (a) of a work of architecture in the form of building or any other construction; (b) in the form of reprography of the whole or of a substantial part of a book or of a musical work in the form of notation; (c) of the whole or of a substantial part of database in digital form; (d) of a computer programme, except as provided in secion 28; and (e) of any work in cases where reproducxtion would confilct with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright.",
Singapore,"Copyright Act 2021 (Revised Edition 2020, Act No. 22 of 2021) https://wipolex.wipo.int/en/text/584840","Division 2 — Fair use
Fair use is permitted use
190.—(1) It is a permitted use of a work to make a fair use of the
work.
(2) It is a permitted use of a protected performance to make a fair
use of —
(a) the performance; or
(b) a recording of the performance.Interpretation: what is computational data analysis. Relevant matters in deciding whether use is fair
191. Subject to sections 192, 193 and 194, all relevant matters must be considered in deciding whether a work or a protected performance
(including a recording of the performance) is fairly used, including —
(a) the purpose and character of the use, including whether the use is of a commercial nature or is for non-profit educational purposes;
(b) the nature of the work or performance;
(c) the amount and substantiality of the portion used in relation to the whole work or performance; and
(d) the effect of the use upon the potential market for, or value
of, the work or performance. Deemed fair use where reasonable portion of article copied for
research or study
",,,,,
Slovakia,ACT NO. 185/2015 COLL. ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED BY ACT NO. 306/2018 COLL.) https://wipolex.wipo.int/en/legislation/details/19393,,,,,"Sec. 44 - Copyright is not infringed by a person who without authorisation of its author uses released work by making a copy, by public performance or communication to the public for the purpose of organising object lesson for educational or scientific research, provided that such using of work does not result in direct or indirect economic benefit.",
Slovenia,"COPYRIGHT AND RELATED RIGHTS ACT (OFFICIAL GAZETTE OF THE REPUBLIC OF SLOVENIA, NO. 21/95 OF APRIL 14, 1995, AS AMENDED UP TO OCTOBER 19, 2019) https://wipolex.wipo.int/en/text/582063",,"
",,,"Art 50 - (1) Subject to Article 37 of this Act, the reproduction of an already published work is free if it is performed in a maximum of three copies and if the conditions referred to in the second or third paragraph of this Article are met.
(2) A natural person may freely reproduce work - 1. on paper or similar medium using photocopying or other photographic technique with similar effects, 2. on any other medium, if he does so for private use, if the copies are not handed over or communicated to the public and if it does not intend to achieve direct or indirect economic benefits.
... (4) Reproduction under the preceding paragraphs of this Article is not permitted in respect of written works in the scope of the entire book, graphic editions of musical works, electronic databases and computer programs and in the form of an architectural object, unless otherwise provided by this Act or the contract.",
Solomon Islands,Copyright Act 1987 (Cap 138) https://wipolex.wipo.int/en/text/198217,,,,,"General exceptions 
7.-(1) The copyright subsisting in any literary, dramatic, musical or artistic work by 
virtue of this Part is not infringed by- 
(a) any fair dealing with the work for purposes of research or private study; or",
Somalia,"Law No. 66 of 7 September 1977 http://www.somalilandlaw.com/Copyright_Law_1977__Som__small_file.pdf 
",,,,,,
South Africa,"Copyright Act, 1978 (Act No. 98 of 1978, as amended up to Copyright Amendment Act 2002) https://wipolex.wipo.int/en/text/130429",,,,,"Art 12 (1) Copyright shall not be infringed by any fair dealing with a literary or musical work- (a) for the purposes of research or private study by, or the personal or private use of, the person using the work;",
South Georgia and South Sandwich Islands,"Copyright, Designs and Patents Act 1988 (Chapter 48) https://wipolex.wipo.int/en/text/127295 [British overseas terriroty]
",,,,,,
South Sudan,The Copyright and Neighbouring Rights Protection Act 1996 https://wipolex.wipo.int/en/text/246810,,,,,"Art 14(4)- It shall be allowed to reproduce, translate or adapt a published work for personal and private use but this shall not apply to computer programs, data banks and scores of a musical work.",
Spain,"CONSOLIDATED TEXT OF THE LAW ON INTELLECTUAL PROPERTY, REGULARIZING, CLARIFYING AND HARMONIZING THE APPLICABLE STATUTORY PROVISIONS (APPROVED BY ROYAL LEGISLATIVE DECREE NO. 1/1996 OF APRIL 12, 1996, AND AMENDED UP TO ROYAL DECREE-LAW NO. 6/2022 OF MARS 29, 2022) https://wipolex.wipo.int/en/legislation/details/21371","
",,,,"Art 31(2) Without prejudice to the equitable compensation provided for in article 25, the reproduction, in any medium, without the assistance of third parties, of works already disclosed, does not need authorization from the author, when the following circumstances concur simultaneously, constituting the legal limit of private copying: a) That it is carried out by a natural person exclusively for their private, non-professional or business use, and without direct or indirect commercial purposes. b) That the reproduction is made from a legal source and that the conditions of access to the work or service are not violated. c) That the copy obtained is not the object of collective or lucrative use, or of distribution by price",
Sri Lanka,Intellectual Property Act (Act No. 36 of 2003) https://wipolex.wipo.int/en/legislation/details/6705,"Sec 11(1) Notwithstanding the provisions of subsection (1) of section 9, the fair use of a work, including such use by reproduction in copies or by any other means specified by that section, for purposes such as criticism, comment, news reporting, teaching (including multiple copies for classroom use), scholarship or research, shall not be an infringement of copyright.",,,,,
Sudan,"Copyright and Neighboring Rights Protection and Literary and Artistic Works Act, 2013 https://wipolex.wipo.int/en/text/565140",,,,,"Art. 14(4) It shall be allowed to reproduce, translate or adapt a published work for personal and private use but this shall not apply to computer programs, data banks and scores of a musical work. ",
Suriname,"LAW OF MARCH 22, 1913, LAYING DOWN NEW RULES ON COPYRIGHT (AS AMENDED UP TO DECREE S.B NO. 23 OF 1981) https://wipolex.wipo.int/en/text/209837 
",,,"Article 17
Reproduction, which is limited to a few copies and exclusively for personal practice, study or use, and which, where it applies a work, as referred to in article 10, 6°, because of its size or the method according to which it is made, shows a clear difference from the original work.
This provision does not apply to the reconstruction of structures.
",,,
Sweden,Act (1960:729) on Copyright in Literary and Artistic Works (as amended up to Act (2020:540)) https://wipolex.wipo.int/en/text/580485,,,,,"Article 12. Anybody is entitled to prepare, for private purposes, one or a few copies of works that have been made public. In respect of literary works in written form the preparation of copies may, however, concern only limited parts of works, or such works of limited scope. The copies must not be used for purposes other than private use. 
The provisions in the first Paragraph do not confer a right to 
1. construct works of architecture 
2. prepare copies of computer programs, or 
3. prepare copies in digital form of compilations in digital form Furthermore, the provisions in the first Paragraph do not confer a right to engage, for private purposes, another party to 
1. prepare copies of musical works or cinematographic works 
2. prepare utilitarian articles or sculptures, or 
3. copy other works of fine art by means of an artistic process. 
This Article does not confer a right to prepare copies of a work when the copy constituting the real master copy has been prepared or has been made available to the public in violation of Article 2. (Act 2005:359).",
Switzerland,"FEDERAL ACT OF OCTOBER 9, 1992, ON COPYRIGHT AND RELATED RIGHTS (STATUS AS OF JANUARY 1, 2022) https://wipolex.wipo.int/en/legislation/details/21313",,,,,"Art 24.d- 1. For the purposes of scientific research, it is permissible to reproduce a work if the copying is due to the use of a technical process and if the works to be copied can be lawfully accessed.
2. On conclusion of the scientific research, the copies made in accordance with this article may be retained for archiving and backup purposes.
3. This article does not apply to the copying of computer programs
",
Syria (Arab Republic),Legislative Decree No. 62 of 2013 implementing the Law on Protection of Copyright and the Related Rights. https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/96561/114109/F735303915/96561.pdf,,,,"
","Article 33
It is permissible, without the author’s permission and without paying compensation, to make a single copy of a legitimately published work for purely personal use. This does not apply to:
1/ Copying architectural works embodied in the form of buildings or any other facilities.
2/ Photocopy of a written work in its entirety or a substantial part of it.
3 / Photocopying of a musical work in the form of a full note or a substantial part of it.
4/ Copies of fully or partially structured database works that are in digital form.
5 / Copying the computer programs and their components of an interrelated nature, unless this is done based on a provision in Article /40/ of this law
[...]

Article 44
The following acts on performances, audio or video recordings, and broadcasting station materials are considered lawful, even if they take place without the permission of the right holder:
1[…]
2/ Copies for scientific research purposes.
3/ Use for educational purposes within educational institutions.
[…]

",
